#,C0,C1,C2,C3,C4
1,License Number,Date,Activity,City Name,County Name 
133,,45512,Cannabis Sample Collected,AIRWAY HEIGHTS,SPOKANE
134,,45516,Cannabis Premises Check,ROY,PIERCE
135,,45532,Cannabis Premises Check,,
136,,45540,Cannabis Premises Check,,
137,,45540,Cannabis Premises Check,TACOMA,PIERCE
138,,45547,Cannabis Premises Check,TACOMA,PIERCE
139,,45552,Cannabis Premises Check,,
140,,45568,Cannabis Premises Check,,
141,,45622,Cannabis Premises Check,,
142,,45635,Cannabis Premises Check,,
143,,45679,Cannabis Premises Check,,
144,,45699,Cannabis Premises Check,,
145,,45712,Cannabis Premises Check,,
146,51017,42041,Cannabis Premises Check,UNINCORPORATED AREAS,CHELAN
147,51760,42758,Cannabis Premises Check,UNINCORP. AREAS,WHATCOM
148,52563,43318,Cannabis Premises Check,SEATTLE,KING
149,52853,42282,Cannabis Premises Check,LYNNWOOD,SNOHOMISH
150,52988,42500,Cannabis Premises Check,UNINCORPORATED AREAS,SKAGIT
151,53106,42529,Cannabis Premises Check,SEATTLE,KING
152,53607,42048,Cannabis Premises Check,SEATTLE,KING
153,54232,42299,Cannabis Applicant Site Verification,UNINCORPORATED AREAS,KING
154,54232,42313,Cannabis Premises Check,UNINCORPORATED AREAS,KING
155,54794,42354,Cannabis Premises Check,UNINCORP. AREAS,WHATCOM
156,54794,42355,Cannabis Premises Check,UNINCORP. AREAS,WHATCOM
157,54794,42356,Cannabis Premises Check,UNINCORP. AREAS,WHATCOM
158,54794,42457,Cannabis Premises Check,UNINCORP. AREAS,WHATCOM
159,70636,41859,Cannabis Premises Check,,
160,71314,45054,Cannabis Compliance Check-no Sale,SUNNYSIDE,YAKIMA
161,71314,45063,Cannabis Compliance Check-no Sale,SUNNYSIDE,YAKIMA
162,71368,42643,Cannabis Premises Check,VANCOUVER,CLARK
163,71368,42660,Cannabis Premises Check,VANCOUVER,CLARK
164,71368,42671,Cannabis Premises Check,VANCOUVER,CLARK
165,71368,42678,Cannabis Compliance Check-no Sale,VANCOUVER,CLARK
166,71368,42678,Cannabis Premises Check,VANCOUVER,CLARK
167,71368,42689,Cannabis Premises Check,VANCOUVER,CLARK
168,71368,42749,Cannabis Compliance Check-no Sale,VANCOUVER,CLARK
169,71368,42749,Cannabis Premises Check,VANCOUVER,CLARK
170,71368,42879,Cannabis Premises Check,VANCOUVER,CLARK
171,71368,42922,Cannabis Compliance Check-no Sale,VANCOUVER,CLARK
172,71368,42922,Cannabis Premises Check,VANCOUVER,CLARK
173,71368,43075,Cannabis Premises Check,VANCOUVER,CLARK
174,71368,43088,Cannabis Premises Check,VANCOUVER,CLARK
175,71368,43138,Cannabis Compliance Check-no Sale,VANCOUVER,CLARK
176,71368,43174,Cannabis Compliance Check-no Sale,VANCOUVER,CLARK
177,71368,43244,Cannabis Premises Check,VANCOUVER,CLARK
178,71368,43292,Cannabis Compliance Check-no Sale,VANCOUVER,CLARK
179,71368,43327,Cannabis Compliance Check-no Sale,VANCOUVER,CLARK
180,71368,43412,Cannabis Compliance Check-no Sale,VANCOUVER,CLARK
181,71368,43455,Cannabis Premises Check,VANCOUVER,CLARK
182,71368,43488,Cannabis Premises Check,VANCOUVER,CLARK
183,71368,43501,Cannabis Compliance Check-no Sale,VANCOUVER,CLARK
184,71368,43545,Cannabis Premises Check,VANCOUVER,CLARK
185,71368,43572,Cannabis Premises Check,VANCOUVER,CLARK
186,71368,43575,Cannabis Premises Check,VANCOUVER,CLARK
187,71368,43614,Cannabis Premises Check,VANCOUVER,CLARK
188,71368,43616,Cannabis Premises Check,VANCOUVER,CLARK
189,71368,43680,Cannabis Compliance Check-no Sale,VANCOUVER,CLARK
190,71368,43753,Cannabis Compliance Check-no Sale,VANCOUVER,CLARK
191,71368,43761,Cannabis Premises Check,VANCOUVER,CLARK
192,71368,44026,Cannabis Premises Check,VANCOUVER,CLARK
193,71368,44097,Cannabis Premises Check,VANCOUVER,CLARK
194,71368,44271,Cannabis Premises Check,VANCOUVER,CLARK
195,71368,44385,Cannabis Compliance Check-no Sale,VANCOUVER,CLARK
196,71368,44385,Cannabis Premises Check,VANCOUVER,CLARK
197,71368,44607,Cannabis Premises Check,VANCOUVER,CLARK
198,71368,44658,Cannabis Premises Check,VANCOUVER,CLARK
199,71368,44671,Cannabis Premises Check,VANCOUVER,CLARK
200,71368,44671,Cannabis Premises Check,VANCOUVER,CLARK
201,71368,44720,Cannabis Premises Check,VANCOUVER,CLARK
202,71368,44720,Cannabis Premises Check,VANCOUVER,CLARK
203,71368,44767,Cannabis Applicant Site Verification,VANCOUVER,CLARK
204,71368,44767,Cannabis Premises Check,VANCOUVER,CLARK
205,71368,44845,Cannabis Premises Check,VANCOUVER,CLARK
206,71368,44859,Cannabis Compliance Check-no Sale,VANCOUVER,CLARK
207,71368,44874,Cannabis Premises Check,VANCOUVER,CLARK
208,71368,44932,Cannabis Premises Check,VANCOUVER,CLARK
209,71368,44971,Cannabis Premises Check,VANCOUVER,CLARK
210,71368,44972,Cannabis Compliance Check-no Sale,VANCOUVER,CLARK
211,71368,44974,Cannabis Premises Check,VANCOUVER,CLARK
212,71368,45034,Cannabis Premises Check,VANCOUVER,CLARK
213,71368,45050,Cannabis Premises Check,VANCOUVER,CLARK
214,71368,45078,Cannabis Premises Check,VANCOUVER,CLARK
215,71368,45091,Cannabis Premises Check,VANCOUVER,CLARK
216,71368,45155,Cannabis Premises Check,VANCOUVER,CLARK
217,71368,45187,Cannabis Premises Check,VANCOUVER,CLARK
218,71368,45230,Cannabis Premises Check,VANCOUVER,CLARK
219,71368,45234,Cannabis Premises Check,VANCOUVER,CLARK
220,71368,45276,Cannabis Compliance Check-no Sale,VANCOUVER,CLARK
221,71368,45299,Cannabis Premises Check,VANCOUVER,CLARK
