#,C0,C1,C2,C3,C4
1,License Number,Date,Activity,City Name,County Name 
451,79720,45313,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
452,79720,45393,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
453,79720,45581,Cannabis Compliance Check-no Sale,UNINCORP. AREAS,KITSAP
454,79720,45685,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
455,79912,43384,Cannabis Premises Check,UNINCORP. AREAS,CLALLAM
456,79912,43399,Cannabis Premises Check,UNINCORP. AREAS,CLALLAM
457,79912,44516,Cannabis Premises Check,UNINCORP. AREAS,CLALLAM
458,79912,45264,Cannabis Premises Check,UNINCORP. AREAS,CLALLAM
459,79912,45460,Cannabis Premises Check,UNINCORP. AREAS,CLALLAM
460,80180,44273,Cannabis Premises Check,PORT ANGELES,CLALLAM
461,80184,43025,Cannabis Compliance Check-no Sale,,
462,80306,42996,Cannabis Compliance Check-no Sale,SEATTLE,KING
463,80743,43465,Cannabis Premises Check,,
464,81400,42973,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
465,81400,42976,Cannabis Compliance Check-no Sale,UNINCORP. AREAS,KITSAP
466,81400,42985,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
467,81400,42996,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
468,81400,42997,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
469,81400,43081,Cannabis Compliance Check-no Sale,UNINCORP. AREAS,KITSAP
470,81400,43123,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
471,81400,43159,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
472,81400,43187,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
473,81400,43194,Cannabis Compliance Check-no Sale,UNINCORP. AREAS,KITSAP
474,81400,43238,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
475,81400,43264,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
476,81400,43312,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
477,81400,43320,Cannabis Compliance Check-no Sale,UNINCORP. AREAS,KITSAP
478,81400,43320,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
479,81400,43339,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
480,81400,43386,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
481,81400,43433,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
482,81400,43473,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
483,81400,43513,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
484,81400,43536,Cannabis Compliance Check-Sale,UNINCORP. AREAS,KITSAP
485,81400,43536,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
486,81400,43598,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
487,81400,43630,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
488,81400,43654,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
489,81400,43689,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
490,81400,43790,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
491,81400,43804,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
492,81400,43808,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
493,81400,43819,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
494,81400,43839,Cannabis Compliance Check-no Sale,UNINCORP. AREAS,KITSAP
495,81400,43900,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
496,81400,43971,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
497,81400,44159,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
498,81400,44307,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
499,81400,44330,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
500,81400,44357,Cannabis Premises Check,UNINCORP. AREAS,KITSAP
